
          RAEWFE   AUSTDEFCOMMCEN WASHINGTON 
          RAYASAP  FEDPOL CANBERRA 
          RAYWAE   DSD CANBERRA 
          RAYWAP   ATTORNEY GENERAL D BRANCH 
          RAYASAJ  DIO CANBERRA 
          RAYWBFA  ONA CANBERRA  
          RAYWEED  AUSTEMB BANGKOK  
          RBDAYI   HQ AIR CMC HIGH WYCOMBE 
          RBDEC    CINCFLEET 
          RBDEFCK  CTF 345 
          RBDHC    DESISS COMMCEN PLYMOUTH 
          RBDIC    DESISS COMMCEN WHITEHALL 
          RBDKADG  HQBF BIOT 
          RBDUAG   GCHQ CHELTENHAM  
          RBDWC    MODUK, MODUK AIR, MODUK ARMY, MODUK NAVY, MODUK DES 
          RBDWCAA  DESISS COMMCEN LONDON 
          RBDWDFA  BECC WASHINGTON 
          RBFWJP   DESISSG COMMCEN RHEINDAHLEN 
          RBOLFYA  BMEWS III RAF FYLINGDALES MEWS UK 
          RBQPSE   DESISS CCU EPISKOPI 
          RCCB     PEARKES NODE SITE OTTAWA ON CAN 
          RCCBFMA  COMMCEN NORTH BAY 
          RCCBJQA  COMMCEN TORONTO 
          RCCBMUA  COMMCEN BORDEN 
          RCCE     DEPARTMENT OF EXTERNAL AFFAIRS ASC OTTAWA ON CAN 
          RCCEOTT  CDLS LONDON UK 
          RCCEOTT  CDLS WASHINGTON DC 
          RCCH     MOBILE FACILITY TUNNEYS OTTAWA ON CAN 
          RCCL     PEARKES NODE SITE OTTAWA ON CAN 
          RCCLEMA  CFS LEITRIM 
          RCCLGOA  CSE OTTAWA 
          RCCP     PEARKES/TUNNEYS NODE SITE OTTAWA ON CAN 
          RCCPDMA  NDHQ CDI OTTAWA 
          RCCPJCR  CRYPTOCENTRE COMMCEN OTTAWA ON CAN 
           
           
          RCCPJSA  COMMCEN OTTAWA 
          RCCPJSP  RCMPHQ OTTAWA 
          RCCPNOA  CFICC OTTAWA 
          RCCPUVA  COMMCEN OTTAWA 
          RCCR     TUNNEYS NODE SITE OTTAWA ON CAN 
          RCCRDOT  DOTOTT 
          RCCRGQA  COMMGP KINGSTON 
          RCCRKVA  2 ASG SIG SQN PETAWAWA 
          RCCRMYA  MACS TRENTON 
          RCCROBA  COMMCEN TRENTON 
          RCCRUNA  COMMCEN TRENTON 
          RCCSVCP  PEARKES NODE OTTAWA 
          RCCSVCT  TUNNEYS NODE OTTAWA 
          RCCT     TUNNEYS NODE SITE OTTAWA ON CAN  
          RCEH     PEARKES NODE SITE OTTAWA ON CAN 
          RCEK     PEARKES NODE SITE OTTAWA ON CAN 
          RCEKGHA  COMMCEN GAGETOWN 
